Frequency (Hz),Trace 1 (dB),Phase (deg),Trace 2 (dB),Phase (deg)
0,-72.20511730977547,0,-68.9732983134864,180
244.140625,-72.4726666812914,165.9287866188631,-68.76823831890587,173.9327923680271
488.28125,-75.74047434280419,148.5660195926866,-69.96178842344113,168.0889961552805
732.421875,-83.52665272299575,118.9473817384977,-71.28352599663546,142.5093521655783
976.5625,-86.32237549822497,114.174104471646,-71.4063004794929,118.1091927671469
1220.703125,-86.28383421326801,130.5989033165876,-71.33230450456621,117.1963899733572
1464.84375,-86.34207737732268,152.4359198465212,-71.26368372122458,110.5742013463791
1708.984375,-86.52390715378998,173.5667131322107,-71.16372354906743,62.63604964616536
1953.125,-86.82632049732497,7.284873317570646,-71.1513699286551,112.5311695661978
2197.265625,-87.12612589910968,46.09901175907924,-71.21339815208987,104.2956189305308
2441.40625,-87.23393499950777,153.0046100836864,-71.30898818350542,106.6113161361464
2685.546875,-87.31382307942,166.9971222825194,-71.32991539433603,114.7801843121697
2929.6875,-87.40712251153327,174.1302076854524,-71.29372037391028,161.9303526079881
3173.828125,-87.58822028645474,166.9520409622785,-71.19703102411646,116.4515656033313
3417.96875,-87.70791113578096,165.8050697135415,-70.99005996736666,115.7222476167375
3662.109375,-87.68946172278254,170.7496267179153,-70.56626186167192,79.22819692615475
3906.25,-87.62936362480636,16.95739104179761,-70.49492723077313,83.43302343230837
4150.390625,-87.5761221727801,85.76116836093153,-70.59337958629271,88.09154478825521
4394.53125,-87.66851363684916,100.6818790170968,-70.98795456382837,96.29730653810832
4638.671875,-87.76130715400092,99.1535076524812,-71.3096280090611,93.64417070494572
4882.8125,-87.79808423552566,98.57162494810606,-71.25140634437668,76.56757861071497
5126.953125,-87.84057074703821,108.8541985994093,-71.22055413210005,46.71375271188746
5371.09375,-87.94602576450785,116.1249769082899,-71.09499065280026,20.52366069584187
5615.234375,-88.08360517479413,120.5614414165701,-70.44827935291983,47.47847791652506
5859.375,-88.03988260726362,105.1932554126234,-70.23851538520947,48.00141598779562
6103.515625,-87.96808329316917,88.09266584919342,-70.4948509988936,13.00618513192265
6347.65625,-88.04284792179911,82.74825773104418,-70.82861421532489,162.8677885110614
6591.796875,-88.05388242266827,83.24025889786728,-71.37981785779216,143.5078848779792
6835.9375,-88.01022806833167,91.91515097573114,-71.40445644192923,139.2842755759781
7080.078125,-87.99204948393304,118.7382017972319,-71.25642258292518,142.4400688868982
7324.21875,-87.96126975829267,163.308246992665,-71.15054698895534,136.4180107478999
7568.359375,-87.9509467978221,178.5528678638622,-70.75662167191354,114.5314002322731
7812.5,-87.99173789567945,153.3034425088296,-70.5402937545924,19.11792611186571
8056.640625,-88.11754708362457,78.20869515448426,-70.50017887849626,175.9356645560209
8300.78125,-88.23671600143,61.50051682517682,-70.6264662830885,177.3914564989258
8544.921875,-88.3901472667099,62.231304222765,-71.08879454394295,175.1360502900817
8789.0625,-88.44579552489436,55.8890260055443,-71.38318120098734,140.583541266762
9033.203125,-88.33914529116777,59.59713365179356,-71.56511442490668,78.3559577923362
9277.34375,-88.32180141279515,13.45461873358531,-71.60676974417824,47.71516178435051
9521.484375,-88.27152960473515,35.86052476302417,-71.536894452971,36.97101890343829
9765.625,-88.18248903233849,47.7765914114316,-71.55219009444134,36.92972596109388
10009.765625,-88.12111006628258,55.40729485478168,-71.59351766832015,65.91446779417424
10253.90625,-87.96782512936826,69.06256874220931,-71.46998727305626,4.497725430602777
10498.046875,-87.90341282210375,79.24192541625169,-71.38263156155843,26.02809544320318
10742.1875,-87.89066238124431,81.25715390653779,-71.31096566320635,41.55202659641892
10986.328125,-87.85561117220715,80.65657920537106,-71.17031902569897,89.05627236544665
11230.46875,-88.01288216121188,76.80375000760098,-71.16976507611369,104.4899206566208
11474.609375,-88.12174762351975,77.71038278741315,-71.22464157453393,114.4957711222699
11718.75,-88.15263684482383,90.39649153063208,-71.21495828518137,125.4650822300234
11962.890625,-88.04346551732083,118.272401753721,-71.24218635490431,136.1779717507953
12207.03125,-87.93959109213347,141.2427491390939,-71.26392557018863,147.933617539102
12451.171875,-87.88805890822391,160.6605883263145,-71.26353235433633,13.8098672877656
12695.3125,-87.90112671976891,177.8113705634871,-71.46243785128003,65.316957458438
12939.453125,-87.97810944062903,10.28799608770025,-71.62297559416109,75.24354807651659
13183.59375,-88.00457914858649,17.70958056050886,-71.40698340880667,86.50249038312809
13427.734375,-87.97437894037017,10.11346168042797,-71.20174707445156,99.33084629858888
13671.875,-87.93247748740556,152.4696045645756,-71.12659087218204,103.7909352677545
13916.015625,-87.84610065775404,5.392937720578604,-71.11142327166962,124.2455583791682
14160.15625,-87.84125652086622,36.20299332356316,-71.10662948962509,162.9750423983569
14404.296875,-87.97505467660172,32.41520168187602,-70.99802039354611,163.7374209103936
14648.4375,-88.08286991879946,23.53299620372835,-71.00783272676895,143.2825743673653
14892.578125,-88.08243425277047,21.19424476059636,-71.21684301276495,153.0337987426803
15136.71875,-88.00749117627502,78.61672345571711,-71.37731917380164,164.802025330798
15380.859375,-87.95165399391053,21.0574275154474,-71.37945426495124,43.46931468957703
15625,-87.92451254275613,166.7523474267871,-71.34767766565864,106.8105909592619
15869.140625,-87.87721760136284,158.8901405468763,-71.32221352962279,121.1562573193692
16113.28125,-87.85627227939698,167.3230102512366,-71.28845212638251,130.6916047407531
16357.421875,-87.93052475108391,165.6635580569122,-71.1229279338171,129.0931627789231
16601.5625,-88.08172572795669,136.1090868565857,-70.97278608017814,106.7156498834334
16845.703125,-88.18704602625269,100.2699796834192,-71.00058390540644,72.37946184276448
17089.84375,-88.18556099200001,147.1715494272375,-71.1360600705452,45.08339515924523
17333.984375,-88.27577093502704,6.119575372717702,-71.25898272262464,48.00228974903074
17578.125,-88.31514447119244,19.02465445586309,-71.28516385549889,71.43898760645345
17822.265625,-88.22435859719798,64.52184962657812,-71.18098416643571,82.98956542737092
18066.40625,-88.14062398315555,105.8064012877223,-71.18537064443437,104.4714525965993
18310.546875,-88.11715283187445,130.3953130113782,-71.24608536171917,161.7724398311908
18554.6875,-88.16721287047713,4.947362565158638,-71.45393666032373,2.311156474129841
18798.828125,-88.24544705516116,11.56902973022654,-71.5033283036194,174.8024893336305
19042.96875,-88.25444630533872,20.91397718967739,-71.38307558441235,163.4742868841815
19287.109375,-88.14751787778246,21.97973934233961,-71.24161576089182,154.6749584686926
19531.25,-88.08500674821934,169.6410866024033,-71.14433663318079,148.6010089887197
19775.390625,-88.09066176022031,98.20525338031007,-71.05996148937633,172.1203045205517
20019.53125,-88.14457545311254,48.09883395374012,-71.07512227158715,103.337472199977
20263.671875,-88.28410491783612,40.70940863830268,-71.11624881301948,114.716522177517
20507.8125,-88.24489877599774,41.6745523166759,-71.10278072299774,106.5897682085667
20751.953125,-88.1763210900931,45.73196953481727,-71.12820027068656,95.75311859646246
20996.09375,-88.14693230746184,49.44355514151852,-71.24196795547364,165.7191642813365
21240.234375,-88.10683248244885,56.03707141800297,-71.2717255436215,132.1234462609076
21484.375,-88.14022273336663,60.50337257219444,-71.12847767192434,128.5484878263784
21728.515625,-88.07874361684802,55.15198196412355,-70.98024743261944,113.1535261067563
21972.65625,-88.01056098803411,80.15979557423279,-70.95226060329342,106.3524078019506
22216.796875,-88.03554780872035,103.925272774709,-71.0750065006297,102.5694628663063
22460.9375,-88.04421282355717,110.2180660055902,-71.31599547955686,89.33095828250832
22705.078125,-88.02587490337346,108.8333133494556,-71.40495879704689,87.31972109073455
22949.21875,-87.99156913826756,93.95292272615899,-71.42409468169808,93.20437465768588
23193.359375,-88.0523625437104,73.12165175905236,-71.50925041522592,87.46775351856769
23437.5,-88.06446239424245,153.2354861538395,-71.51189678633271,153.6003714975255
23681.640625,-88.02592793405171,139.9269163688135,-71.66829071928311,55.32775421413402
23925.78125,-88.04689426207426,3.063325827580486,-71.72475084936801,65.29983833133012
24169.921875,-88.1052588871988,137.0218759455276,-71.60032399909528,84.06493491656558
24414.0625,-88.03186715197751,116.4904656066901,-71.47342271544544,128.3624802820834
24658.203125,-87.99105367967474,108.5520319754818,-71.35064503061155,1.757419505374203
24902.34375,-88.00276102978941,106.6604846116649,-71.3166610744474,13.84748946446047
25146.484375,-88.09232066676734,107.0082271246765,-71.26005802823107,8.961876365371456
25390.625,-88.09492206120025,137.8350646516557,-71.27704096937616,175.069962083764
25634.765625,-88.00844904962869,142.4303100190884,-71.38836936246233,160.7941645492088
25878.90625,-88.0408536666317,134.7415564187157,-71.55836205990992,168.0096640994525
26123.046875,-88.06585923182469,135.1871974864137,-71.6151607233539,23.93356992838151
26367.1875,-88.10708979451428,146.2172698884625,-71.46267617708611,59.8660267994357
26611.328125,-88.1716049651418,146.8144300401631,-71.38359409220249,87.92976919448397
26855.46875,-88.30632190841926,123.056669489681,-71.38571417481309,111.7028387083419
27099.609375,-88.30748360444082,56.35298851457359,-71.39001411443388,125.4910869710791
27343.75,-88.12020903590998,17.36317044325233,-71.35547318169975,128.246882761877
27587.890625,-88.01955074409739,16.22389119795982,-71.42137922027975,145.161554330235
27832.03125,-87.96889506869009,20.95918066101983,-71.47984341658652,132.6034614854006
28076.171875,-87.94396165004235,16.52480292461628,-71.38798445421892,155.0694861742358
28320.3125,-88.03957092430412,10.9183672738347,-71.30983257796663,150.9858894541258
28564.453125,-88.16987385841649,6.021949885616402,-71.30960103917816,141.7662844328772
28808.59375,-88.16268797625673,165.0228020521306,-71.26229893115674,138.9447502164743
29052.734375,-88.03463279041489,126.8667845895186,-71.22270277237722,91.81931342440988
29296.875,-87.88806751391982,112.3386193691784,-71.36056864586911,8.646309503206062
29541.015625,-87.9018814441684,125.6192861031324,-71.50359141600914,155.3525406673616
29785.15625,-87.9565043687609,131.6737551460384,-71.45998627006804,103.7408146412334
30029.296875,-87.99794823755641,130.3805097494505,-71.38106951258534,88.54966582834537
30273.4375,-88.02220010772622,120.3831098140627,-71.27358249385844,78.80185874684837
30517.578125,-87.95069583389412,78.47339096416022,-71.33744216890064,70.13977090240707
30761.71875,-87.89683740349628,30.64791538967837,-71.34270565314183,51.66662943951103
31005.859375,-88.00665465295037,22.62135952441998,-71.3880773416814,34.25769689595077
31250,-88.15728807649714,28.79044641848348,-71.35318165483174,40.34980081395405
31494.140625,-88.2232106524676,11.30772582004075,-71.1694521595015,49.79797457665041
31738.28125,-88.14958315854398,117.4248388258862,-71.02019207568416,61.23480425478565
31982.421875,-88.09450094124551,99.23525870816702,-71.01183979120735,90.93025358341825
32226.5625,-88.10423357788274,99.38580246100696,-71.11940641695764,117.1668866919568
32470.703125,-88.10832280365234,109.1408364422169,-71.09154639539679,4.524023562511657
32714.84375,-88.08103120941007,120.0234436936351,-71.1290447021114,54.91557776513317
32958.984375,-88.15450964725707,114.281175627087,-71.21117403778472,80.64366875032938
33203.125,-88.24076493619435,107.890319251339,-71.22965287280439,92.83930751657148
33447.265625,-88.26648989129453,105.508126643379,-71.31335062451916,86.60708737551862
33691.40625,-88.27866033576169,84.55438345423865,-71.33691486475462,63.90736633917422
33935.546875,-88.350217747062,69.69809422235686,-71.17917345910013,165.4424738955568
34179.6875,-88.30079250500808,64.99987640771586,-71.1686172883467,124.1812090795545
34423.828125,-88.08980570562778,50.66308514941839,-71.25752914468846,147.4137606539702
34667.96875,-87.87846696923154,44.92567406304976,-71.27611381926265,10.06957810549401
34912.109375,-87.79354058201086,21.51755069767725,-71.36166625577259,40.61557429314348
35156.25,-87.96221189760244,148.9546067213448,-71.39139343813375,50.37307553369244
35400.390625,-88.13469062932293,138.5886329992918,-71.29951289384705,50.2667414531571
35644.53125,-88.23214301050052,130.4118845437117,-71.05936273420329,42.56781978238448
35888.671875,-88.32075049398449,124.8195862707429,-70.96683142139916,34.30836341010191
36132.8125,-88.31310093287144,117.4235013691351,-71.04948889334769,24.7159764045818
36376.953125,-88.41799072568671,99.15644764272315,-71.03428668688501,179.3873495556818
36621.09375,-88.4478811172395,47.06223098493011,-71.01670861745957,133.0193548827269
36865.234375,-88.28732987926473,10.02043049459176,-71.15788969644933,87.65294880131738
37109.375,-88.15231047338996,179.4235508803407,-71.18486362802768,70.0903670440307
37353.515625,-88.12517122455121,107.8574781582443,-71.15664647229727,65.76397522675985
37597.65625,-88.10589769920574,124.3944053034394,-71.1309380447275,36.14822635798397
37841.796875,-88.10147433318706,126.6566210357634,-71.24852658878859,34.28231612584153
38085.9375,-88.18247704232951,130.9826000128382,-71.26425446874136,5.101852692568515
38330.078125,-88.25621576198783,117.1155377822421,-71.16792567952457,149.7863791739443
38574.21875,-88.30111740925324,93.58796627123063,-71.18744819533711,62.87625415086325
38818.359375,-88.34643899060143,87.26635691407654,-71.28500452115792,9.812503942970594
39062.5,-88.31196337925229,87.20640284596965,-71.28506619171857,143.8624786421329
39306.640625,-88.22576145935727,64.78502085959444,-71.2952155617272,70.8380378728797
39550.78125,-88.08537442548321,28.28899192902337,-71.20892575427006,47.88528439404033
39794.921875,-87.99992473246996,7.286349267355081,-71.08732939500339,45.50510888993748
40039.0625,-88.12426029807767,3.309512592290237,-70.96232895119022,60.28803572523216
40283.203125,-88.18288380946528,172.4672094643875,-70.93833557128806,166.6098875709966
40527.34375,-88.15084336586479,112.653083054982,-71.08746721009143,3.865012318069244
40771.484375,-88.0659242428701,15.50036179070831,-71.16343672104512,172.5328649831239
41015.625,-88.14833210642749,170.6337685704249,-71.10463662194093,114.3393071751628
41259.765625,-88.32368399892894,132.6420204137617,-71.18557408590641,82.70667419169818
41503.90625,-88.31775465085857,105.3341232126658,-71.30117989452745,87.85431400526231
41748.046875,-88.20905882797085,101.0404437428395,-71.35722880401326,108.4861508436041
41992.1875,-88.11406485058333,92.75080574975242,-71.26928210838076,144.7924775562523
